se an,være nøye med noe
se bort fra,ikke regne med noe
se etter,"passe på, lete etter, undersøke"
se fram til,glede seg til noe
se gjennom,ta et øverblikk over
se gjennom fingrene,overse
se med på,forakte
se opp fra,være forsiktig
se opp til,beundre
se over,"lese gjennom, kontrollere"
se på,"tenke på, vurdere"
se til,"passe på, besøke"
se til at,sørge for at
se ut til,virke som
se ut som,ligne
